País,Área geográfica,Servicios básicos_(EH),Años,id_fuente,ids_notas,iso3,valor
América Latina (promedio simple),Nacional,Agua,2001,26,8620,,82
América Latina (promedio simple),Nacional,Desague,2001,26,8620,,53.4
América Latina (promedio simple),Nacional,Electricidad,2001,26,8620,,87
América Latina (promedio simple),Rural,Agua,2001,26,8620,,60.3
América Latina (promedio simple),Rural,Desague,2001,26,8620,,30.3
América Latina (promedio simple),Rural,Electricidad,2001,26,8620,,65.3
América Latina (promedio simple),Urbana,Agua,2001,26,8620,,88.1
América Latina (promedio simple),Urbana,Desague,2001,26,8620,,61.1
América Latina (promedio simple),Urbana,Electricidad,2001,26,8620,,96.9
América Latina (promedio simple),Nacional,Agua,2002,26,8620,,81.9
América Latina (promedio simple),Nacional,Desague,2002,26,8620,,53.9
América Latina (promedio simple),Nacional,Electricidad,2002,26,8620,,86.8
América Latina (promedio simple),Rural,Agua,2002,26,8620,,59.5
América Latina (promedio simple),Rural,Desague,2002,26,8620,,30.5
América Latina (promedio simple),Rural,Electricidad,2002,26,8620,,65.6
América Latina (promedio simple),Urbana,Agua,2002,26,8620,,88.1
América Latina (promedio simple),Urbana,Desague,2002,26,8620,,61.6
América Latina (promedio simple),Urbana,Electricidad,2002,26,8620,,96.5
América Latina (promedio simple),Nacional,Agua,2003,26,8620,,81
América Latina (promedio simple),Nacional,Desague,2003,26,8620,,54.4
América Latina (promedio simple),Nacional,Electricidad,2003,26,8620,,84.7
América Latina (promedio simple),Rural,Agua,2003,26,8620,,57.7
América Latina (promedio simple),Rural,Desague,2003,26,8620,,30
América Latina (promedio simple),Rural,Electricidad,2003,26,8620,,64.2
América Latina (promedio simple),Urbana,Agua,2003,26,8620,,87.3
América Latina (promedio simple),Urbana,Desague,2003,26,8620,,62.5
América Latina (promedio simple),Urbana,Electricidad,2003,26,8620,,95.5
América Latina (promedio simple),Nacional,Agua,2004,26,8620,,82.2
América Latina (promedio simple),Nacional,Desague,2004,26,8620,,54.3
América Latina (promedio simple),Nacional,Electricidad,2004,26,8620,,86
América Latina (promedio simple),Rural,Agua,2004,26,8620,,59.2
América Latina (promedio simple),Rural,Desague,2004,26,8620,,33.3
América Latina (promedio simple),Rural,Electricidad,2004,26,8620,,67.3
América Latina (promedio simple),Urbana,Agua,2004,26,8620,,89.4
América Latina (promedio simple),Urbana,Desague,2004,26,8620,,61
América Latina (promedio simple),Urbana,Electricidad,2004,26,8620,,96.3
América Latina (promedio simple),Nacional,Agua,2005,26,8620,,83.2
América Latina (promedio simple),Nacional,Desague,2005,26,8620,,55.8
América Latina (promedio simple),Nacional,Electricidad,2005,26,8620,,86.8
América Latina (promedio simple),Rural,Agua,2005,26,8620,,59.5
América Latina (promedio simple),Rural,Desague,2005,26,8620,,34.8
América Latina (promedio simple),Rural,Electricidad,2005,26,8620,,68.2
América Latina (promedio simple),Urbana,Agua,2005,26,8620,,90.7
América Latina (promedio simple),Urbana,Desague,2005,26,8620,,62.4
América Latina (promedio simple),Urbana,Electricidad,2005,26,8620,,96.7
América Latina (promedio simple),Nacional,Agua,2006,26,8620,,83.5
América Latina (promedio simple),Nacional,Desague,2006,26,8620,,54.9
América Latina (promedio simple),Nacional,Electricidad,2006,26,8620,,88
América Latina (promedio simple),Rural,Agua,2006,26,8620,,62
América Latina (promedio simple),Rural,Desague,2006,26,8620,,34.5
América Latina (promedio simple),Rural,Electricidad,2006,26,8620,,70.9
América Latina (promedio simple),Urbana,Agua,2006,26,8620,,90.1
América Latina (promedio simple),Urbana,Desague,2006,26,8620,,60.6
América Latina (promedio simple),Urbana,Electricidad,2006,26,8620,,97.1
América Latina (promedio simple),Nacional,Agua,2007,26,8620,,84.4
América Latina (promedio simple),Nacional,Desague,2007,26,8620,,55.8
América Latina (promedio simple),Nacional,Electricidad,2007,26,8620,,89.9
América Latina (promedio simple),Rural,Agua,2007,26,8620,,63.7
América Latina (promedio simple),Rural,Desague,2007,26,8620,,39.6
América Latina (promedio simple),Rural,Electricidad,2007,26,8620,,74
América Latina (promedio simple),Urbana,Agua,2007,26,8620,,90.8
América Latina (promedio simple),Urbana,Desague,2007,26,8620,,61.1
América Latina (promedio simple),Urbana,Electricidad,2007,26,8620,,97.5
América Latina (promedio simple),Nacional,Agua,2008,26,8620,,85
América Latina (promedio simple),Nacional,Desague,2008,26,8620,,57.1
América Latina (promedio simple),Nacional,Electricidad,2008,26,8620,,90.7
América Latina (promedio simple),Rural,Agua,2008,26,8620,,66.4
América Latina (promedio simple),Rural,Desague,2008,26,8620,,40.2
América Latina (promedio simple),Rural,Electricidad,2008,26,8620,,75.5
América Latina (promedio simple),Urbana,Agua,2008,26,8620,,90.6
América Latina (promedio simple),Urbana,Desague,2008,26,8620,,63
América Latina (promedio simple),Urbana,Electricidad,2008,26,8620,,97.9
América Latina (promedio simple),Nacional,Agua,2009,26,8620,,83.6
América Latina (promedio simple),Nacional,Desague,2009,26,8620,,57.4
América Latina (promedio simple),Nacional,Electricidad,2009,26,8620,,91.5
América Latina (promedio simple),Rural,Agua,2009,26,8620,,65.1
América Latina (promedio simple),Rural,Desague,2009,26,8620,,41.3
América Latina (promedio simple),Rural,Electricidad,2009,26,8620,,77.7
América Latina (promedio simple),Urbana,Agua,2009,26,8620,,89.2
América Latina (promedio simple),Urbana,Desague,2009,26,8620,,63.4
América Latina (promedio simple),Urbana,Electricidad,2009,26,8620,,97.9
América Latina (promedio simple),Nacional,Agua,2010,26,8620,,83.2
América Latina (promedio simple),Nacional,Desague,2010,26,8620,,58.4
América Latina (promedio simple),Nacional,Electricidad,2010,26,8620,,92.1
América Latina (promedio simple),Rural,Agua,2010,26,8620,,63.3
América Latina (promedio simple),Rural,Desague,2010,26,8620,,42.7
América Latina (promedio simple),Rural,Electricidad,2010,26,8620,,79.2
América Latina (promedio simple),Urbana,Agua,2010,26,8620,,89.2
América Latina (promedio simple),Urbana,Desague,2010,26,8620,,64.1
América Latina (promedio simple),Urbana,Electricidad,2010,26,8620,,98.1
América Latina (promedio simple),Nacional,Agua,2011,26,8620,,84.4
América Latina (promedio simple),Nacional,Desague,2011,26,8620,,59.4
América Latina (promedio simple),Nacional,Electricidad,2011,26,8620,,92.3
América Latina (promedio simple),Rural,Agua,2011,26,8620,,66.4
América Latina (promedio simple),Rural,Desague,2011,26,8620,,42.8
América Latina (promedio simple),Rural,Electricidad,2011,26,8620,,79.7
América Latina (promedio simple),Urbana,Agua,2011,26,8620,,90
América Latina (promedio simple),Urbana,Desague,2011,26,8620,,65.4
América Latina (promedio simple),Urbana,Electricidad,2011,26,8620,,98.3
América Latina (promedio simple),Nacional,Agua,2012,26,8620,,84.9
América Latina (promedio simple),Nacional,Desague,2012,26,8620,,61.2
América Latina (promedio simple),Nacional,Electricidad,2012,26,8620,,93
América Latina (promedio simple),Rural,Agua,2012,26,8620,,68.5
América Latina (promedio simple),Rural,Desague,2012,26,8620,,45
América Latina (promedio simple),Rural,Electricidad,2012,26,8620,,81.9
América Latina (promedio simple),Urbana,Agua,2012,26,8620,,89.8
América Latina (promedio simple),Urbana,Desague,2012,26,8620,,67
América Latina (promedio simple),Urbana,Electricidad,2012,26,8620,,98.3
América Latina (promedio simple),Nacional,Agua,2013,26,8620,,85
América Latina (promedio simple),Nacional,Desague,2013,26,8620,,60.2
América Latina (promedio simple),Nacional,Electricidad,2013,26,8620,,93.2
América Latina (promedio simple),Rural,Agua,2013,26,8620,,69.8
América Latina (promedio simple),Rural,Desague,2013,26,8620,,45.6
América Latina (promedio simple),Rural,Electricidad,2013,26,8620,,82.3
América Latina (promedio simple),Urbana,Agua,2013,26,8620,,89.9
América Latina (promedio simple),Urbana,Desague,2013,26,8620,,65.5
América Latina (promedio simple),Urbana,Electricidad,2013,26,8620,,98.4
América Latina (promedio simple),Nacional,Agua,2014,26,8620,,86.3
América Latina (promedio simple),Nacional,Desague,2014,26,8620,,60.8
América Latina (promedio simple),Nacional,Electricidad,2014,26,8620,,94
América Latina (promedio simple),Rural,Agua,2014,26,8620,,74.5
América Latina (promedio simple),Rural,Desague,2014,26,8620,,47.6
América Latina (promedio simple),Rural,Electricidad,2014,26,8620,,84.4
América Latina (promedio simple),Urbana,Agua,2014,26,8620,,89.4
América Latina (promedio simple),Urbana,Desague,2014,26,8620,,65.8
América Latina (promedio simple),Urbana,Electricidad,2014,26,8620,,98.4
América Latina (promedio simple),Nacional,Agua,2015,26,8620,,86.3
América Latina (promedio simple),Nacional,Desague,2015,26,8620,,60.4
América Latina (promedio simple),Nacional,Electricidad,2015,26,8620,,94.3
América Latina (promedio simple),Rural,Agua,2015,26,8620,,74.4
América Latina (promedio simple),Rural,Desague,2015,26,8620,,49.4
América Latina (promedio simple),Rural,Electricidad,2015,26,8620,,85.1
América Latina (promedio simple),Urbana,Agua,2015,26,8620,,89.4
América Latina (promedio simple),Urbana,Desague,2015,26,8620,,64.7
América Latina (promedio simple),Urbana,Electricidad,2015,26,8620,,98.5
América Latina (promedio simple),Nacional,Agua,2016,26,8620,,86
América Latina (promedio simple),Nacional,Desague,2016,26,8620,,61.1
América Latina (promedio simple),Nacional,Electricidad,2016,26,8620,,94.6
América Latina (promedio simple),Rural,Agua,2016,26,8620,,74
América Latina (promedio simple),Rural,Desague,2016,26,8620,,53.2
América Latina (promedio simple),Rural,Electricidad,2016,26,8620,,85.7
América Latina (promedio simple),Urbana,Agua,2016,26,8620,,89.1
América Latina (promedio simple),Urbana,Desague,2016,26,8620,,64.9
América Latina (promedio simple),Urbana,Electricidad,2016,26,8620,,98.7
América Latina (promedio simple),Nacional,Agua,2017,26,8620,,87.2
América Latina (promedio simple),Nacional,Desague,2017,26,8620,,61.4
América Latina (promedio simple),Nacional,Electricidad,2017,26,8620,,94.7
América Latina (promedio simple),Rural,Agua,2017,26,8620,,75.9
América Latina (promedio simple),Rural,Desague,2017,26,8620,,53.7
