País,Área geográfica,Quintil,Años,id_fuente,ids_notas,iso3,valor
Argentina,Urbana,Quintil 1,2000,26,923,ARG,38.3
Argentina,Urbana,Quintil 2,2000,26,923,ARG,38.4
Argentina,Urbana,Quintil 3,2000,26,923,ARG,33
Argentina,Urbana,Quintil 4,2000,26,923,ARG,23.2
Argentina,Urbana,Quintil 5,2000,26,923,ARG,15.6
Argentina,Urbana,Total quintiles,2000,26,923,ARG,28.5
Argentina,Urbana,Quintil 1,2001,26,923,ARG,36
Argentina,Urbana,Quintil 2,2001,26,923,ARG,36.6
Argentina,Urbana,Quintil 3,2001,26,923,ARG,33.7
Argentina,Urbana,Quintil 4,2001,26,923,ARG,25.5
Argentina,Urbana,Quintil 5,2001,26,923,ARG,15.1
Argentina,Urbana,Total quintiles,2001,26,923,ARG,28.4
Argentina,Urbana,Quintil 1,2002,26,923,ARG,33.5
Argentina,Urbana,Quintil 2,2002,26,923,ARG,29
Argentina,Urbana,Quintil 3,2002,26,923,ARG,29.9
Argentina,Urbana,Quintil 4,2002,26,923,ARG,25.5
Argentina,Urbana,Quintil 5,2002,26,923,ARG,16.7
Argentina,Urbana,Total quintiles,2002,26,923,ARG,26.2
Argentina,Urbana,Quintil 1,2003,26,337,ARG,33.6
Argentina,Urbana,Quintil 2,2003,26,337,ARG,30.5
Argentina,Urbana,Quintil 3,2003,26,337,ARG,27.7
Argentina,Urbana,Quintil 4,2003,26,337,ARG,21
Argentina,Urbana,Quintil 5,2003,26,337,ARG,14.3
Argentina,Urbana,Total quintiles,2003,26,337,ARG,24.6
Argentina,Urbana,Quintil 1,2004,26,337,ARG,34.5
Argentina,Urbana,Quintil 2,2004,26,337,ARG,31.3
Argentina,Urbana,Quintil 3,2004,26,337,ARG,27.2
Argentina,Urbana,Quintil 4,2004,26,337,ARG,19.9
Argentina,Urbana,Quintil 5,2004,26,337,ARG,13
Argentina,Urbana,Total quintiles,2004,26,337,ARG,24.2
Argentina,Urbana,Quintil 1,2005,26,337,ARG,34.5
Argentina,Urbana,Quintil 2,2005,26,337,ARG,33.1
Argentina,Urbana,Quintil 3,2005,26,337,ARG,26.8
Argentina,Urbana,Quintil 4,2005,26,337,ARG,18.9
Argentina,Urbana,Quintil 5,2005,26,337,ARG,10.5
Argentina,Urbana,Total quintiles,2005,26,337,ARG,23.7
Argentina,Urbana,Quintil 1,2006,26,337,ARG,35.9
Argentina,Urbana,Quintil 2,2006,26,337,ARG,33.9
Argentina,Urbana,Quintil 3,2006,26,337,ARG,27.2
Argentina,Urbana,Quintil 4,2006,26,337,ARG,18.8
Argentina,Urbana,Quintil 5,2006,26,337,ARG,10.5
Argentina,Urbana,Total quintiles,2006,26,337,ARG,24.2
Argentina,Urbana,Quintil 1,2007,26,337,ARG,36.1
Argentina,Urbana,Quintil 2,2007,26,337,ARG,30.1
Argentina,Urbana,Quintil 3,2007,26,337,ARG,22.2
Argentina,Urbana,Quintil 4,2007,26,337,ARG,16.4
Argentina,Urbana,Quintil 5,2007,26,337,ARG,9.8
Argentina,Urbana,Total quintiles,2007,26,337,ARG,21.9
Argentina,Urbana,Quintil 1,2008,26,337,ARG,33.9
Argentina,Urbana,Quintil 2,2008,26,337,ARG,29.7
Argentina,Urbana,Quintil 3,2008,26,337,ARG,20.3
Argentina,Urbana,Quintil 4,2008,26,337,ARG,13.6
Argentina,Urbana,Quintil 5,2008,26,337,ARG,8.5
Argentina,Urbana,Total quintiles,2008,26,337,ARG,20.2
Argentina,Urbana,Quintil 1,2009,26,337,ARG,33.6
Argentina,Urbana,Quintil 2,2009,26,337,ARG,28.1
Argentina,Urbana,Quintil 3,2009,26,337,ARG,18.9
Argentina,Urbana,Quintil 4,2009,26,337,ARG,12.4
Argentina,Urbana,Quintil 5,2009,26,337,ARG,7.8
Argentina,Urbana,Total quintiles,2009,26,337,ARG,19
Argentina,Urbana,Quintil 1,2010,26,337,ARG,37
Argentina,Urbana,Quintil 2,2010,26,337,ARG,29.6
Argentina,Urbana,Quintil 3,2010,26,337,ARG,17.9
Argentina,Urbana,Quintil 4,2010,26,337,ARG,13.1
Argentina,Urbana,Quintil 5,2010,26,337,ARG,6.9
Argentina,Urbana,Total quintiles,2010,26,337,ARG,19.7
Argentina,Urbana,Quintil 1,2011,26,337,ARG,35.3
Argentina,Urbana,Quintil 2,2011,26,337,ARG,28.1
Argentina,Urbana,Quintil 3,2011,26,337,ARG,18
