Sexo,País,Ocupados baja productividad,Años,id_fuente,ids_notas,iso3,valor
Ambos sexos,América Latina (promedio ponderado),D2. Trab. Indep. no calificados: Comercio y servicios,2005,26,"8620,7764",,16
Mujeres,Argentina,D. Trabajadores independientes no calificados: Total,2019,26,337,ARG,16
Ambos sexos,Costa Rica,D. Trabajadores independientes no calificados: Total,2005,26,8612,CRI,16
Mujeres,Costa Rica,C. Empleo doméstico,2010,26,8613,CRI,16
Ambos sexos,Ecuador,B. Microempresa: Total asalariados,2008,26,,ECU,16
Hombres,Honduras,B. Microempresa: Total asalariados,2011,26,355,HND,16
Mujeres,Panamá,D. Trabajadores independientes no calificados: Total,2007,26,10359,PAN,16
Ambos sexos,Paraguay,B2. Asalariados: No profesionales ni técnicos,2009,26,337,PRY,16
Hombres,Venezuela (República Bolivariana de),B2. Asalariados: No profesionales ni técnicos,2003,26,,VEN,16
Hombres,Argentina,D. Trabajadores independientes no calificados: Total,2011,26,337,ARG,17
Hombres,Costa Rica,D. Trabajadores independientes no calificados: Total,2001,26,8612,CRI,17
Mujeres,Costa Rica,C. Empleo doméstico,2011,26,8613,CRI,17
Hombres,Honduras,D2. Trab. Indep. no calificados: Comercio y servicios,2005,26,355,HND,17
Mujeres,Honduras,D2. Trab. Indep. no calificados: Comercio y servicios,2009,26,355,HND,17
Hombres,Honduras,B. Microempresa: Total asalariados,2010,26,355,HND,17
Hombres,Honduras,B2. Asalariados: No profesionales ni técnicos,2019,26,8615,HND,17
Ambos sexos,Uruguay,D. Trabajadores independientes no calificados: Total,2008,26,,URY,17
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2004,26,,BOL,77.9
Mujeres,Guatemala,Total ocupados baja productividad,2000,26,,GTM,75.9
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2002,26,,BOL,75.4
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2001,26,,BOL,74.3
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2005,26,,BOL,71.6
Ambos sexos,Guatemala,Total ocupados baja productividad,2000,26,,GTM,71.6
Mujeres,Perú,Total ocupados baja productividad,2000,26,8647,PER,71.5
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2000,26,,BOL,71
Mujeres,Perú,Total ocupados baja productividad,2004,26,8649,PER,71
Mujeres,Paraguay,Total ocupados baja productividad,2004,26,9572,PRY,70.6
Mujeres,Perú,Total ocupados baja productividad,2005,26,8649,PER,70.6
Mujeres,Perú,Total ocupados baja productividad,2003,26,8648,PER,70.3
Mujeres,Perú,Total ocupados baja productividad,2001,26,8647,PER,70.2
Mujeres,Perú,Total ocupados baja productividad,2006,26,8649,PER,70.1
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2004,26,,BOL,69.9
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2007,26,,BOL,69.5
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2006,26,,BOL,69.3
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2008,26,,BOL,68.6
Mujeres,Paraguay,Total ocupados baja productividad,2003,26,9572,PRY,68.6
Mujeres,Perú,Total ocupados baja productividad,2002,26,8647,PER,68.6
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2019,26,,BOL,68.2
Hombres,Guatemala,Total ocupados baja productividad,2000,26,,GTM,68.2
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2012,26,,BOL,68
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2015,26,,BOL,67.8
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2017,26,,BOL,67.7
Mujeres,Perú,Total ocupados baja productividad,2008,26,8649,PER,67.7
Mujeres,Perú,Total ocupados baja productividad,2010,26,8649,PER,67.7
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2014,26,,BOL,67.4
Mujeres,Perú,Total ocupados baja productividad,2007,26,8649,PER,67.3
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2016,26,,BOL,67.2
Mujeres,Perú,Total ocupados baja productividad,2009,26,8649,PER,67.2
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2018,26,,BOL,67
Mujeres,Paraguay,Total ocupados baja productividad,2002,26,9572,PRY,67
