Sexo,País,Área geográfica,Escolaridad (EH),Años,id_fuente,ids_notas,iso3,valor
Ambos sexos,América Latina (promedio simple),Nacional,0 a 5 años,2001,26,8620,,32.2
Hombres,América Latina (promedio simple),Nacional,0 a 5 años,2001,26,8620,,30.4
Mujeres,América Latina (promedio simple),Nacional,0 a 5 años,2001,26,8620,,33.8
Ambos sexos,América Latina (promedio simple),Nacional,10 a 12 años,2001,26,8620,,20.1
Hombres,América Latina (promedio simple),Nacional,10 a 12 años,2001,26,8620,,20.4
Mujeres,América Latina (promedio simple),Nacional,10 a 12 años,2001,26,8620,,19.9
Ambos sexos,América Latina (promedio simple),Nacional,13 años y más,2001,26,8620,,15.7
Hombres,América Latina (promedio simple),Nacional,13 años y más,2001,26,8620,,16
Mujeres,América Latina (promedio simple),Nacional,13 años y más,2001,26,8620,,15.4
Ambos sexos,América Latina (promedio simple),Nacional,6 a 9 años,2001,26,8620,,32
Hombres,América Latina (promedio simple),Nacional,6 a 9 años,2001,26,8620,,33.2
Mujeres,América Latina (promedio simple),Nacional,6 a 9 años,2001,26,8620,,30.9
Ambos sexos,América Latina (promedio simple),Rural,0 a 5 años,2001,26,8620,,60.1
Hombres,América Latina (promedio simple),Rural,0 a 5 años,2001,26,8620,,57.6
Mujeres,América Latina (promedio simple),Rural,0 a 5 años,2001,26,8620,,62.4
Ambos sexos,América Latina (promedio simple),Rural,10 a 12 años,2001,26,8620,,7.7
Hombres,América Latina (promedio simple),Rural,10 a 12 años,2001,26,8620,,8.3
Mujeres,América Latina (promedio simple),Rural,10 a 12 años,2001,26,8620,,7.1
Ambos sexos,América Latina (promedio simple),Rural,13 años y más,2001,26,8620,,3.6
Hombres,América Latina (promedio simple),Rural,13 años y más,2001,26,8620,,3.6
Mujeres,América Latina (promedio simple),Rural,13 años y más,2001,26,8620,,3.5
Ambos sexos,América Latina (promedio simple),Rural,6 a 9 años,2001,26,8620,,28.7
Hombres,América Latina (promedio simple),Rural,6 a 9 años,2001,26,8620,,30.5
Mujeres,América Latina (promedio simple),Rural,6 a 9 años,2001,26,8620,,27
Ambos sexos,América Latina (promedio simple),Urbana,0 a 5 años,2001,26,8620,,22.5
Hombres,América Latina (promedio simple),Urbana,0 a 5 años,2001,26,8620,,20.1
Mujeres,América Latina (promedio simple),Urbana,0 a 5 años,2001,26,8620,,24.5
Ambos sexos,América Latina (promedio simple),Urbana,10 a 12 años,2001,26,8620,,24.6
Hombres,América Latina (promedio simple),Urbana,10 a 12 años,2001,26,8620,,24.9
Mujeres,América Latina (promedio simple),Urbana,10 a 12 años,2001,26,8620,,24.3
Ambos sexos,América Latina (promedio simple),Urbana,13 años y más,2001,26,8620,,20.1
Hombres,América Latina (promedio simple),Urbana,13 años y más,2001,26,8620,,21.1
Mujeres,América Latina (promedio simple),Urbana,13 años y más,2001,26,8620,,19.2
Ambos sexos,América Latina (promedio simple),Urbana,6 a 9 años,2001,26,8620,,32.9
Hombres,América Latina (promedio simple),Urbana,6 a 9 años,2001,26,8620,,34
Mujeres,América Latina (promedio simple),Urbana,6 a 9 años,2001,26,8620,,31.9
Ambos sexos,América Latina (promedio simple),Nacional,0 a 5 años,2002,26,8620,,31.6
Hombres,América Latina (promedio simple),Nacional,0 a 5 años,2002,26,8620,,30.2
Mujeres,América Latina (promedio simple),Nacional,0 a 5 años,2002,26,8620,,32.9
Ambos sexos,América Latina (promedio simple),Nacional,10 a 12 años,2002,26,8620,,20.7
Hombres,América Latina (promedio simple),Nacional,10 a 12 años,2002,26,8620,,20.7
Mujeres,América Latina (promedio simple),Nacional,10 a 12 años,2002,26,8620,,20.8
Ambos sexos,América Latina (promedio simple),Nacional,13 años y más,2002,26,8620,,15.8
Hombres,América Latina (promedio simple),Nacional,13 años y más,2002,26,8620,,16
Mujeres,América Latina (promedio simple),Nacional,13 años y más,2002,26,8620,,15.7
Ambos sexos,América Latina (promedio simple),Nacional,6 a 9 años,2002,26,8620,,31.8
Hombres,América Latina (promedio simple),Nacional,6 a 9 años,2002,26,8620,,33.1
Mujeres,América Latina (promedio simple),Nacional,6 a 9 años,2002,26,8620,,30.6
Ambos sexos,América Latina (promedio simple),Rural,0 a 5 años,2002,26,8620,,59
Hombres,América Latina (promedio simple),Rural,0 a 5 años,2002,26,8620,,56.8
Mujeres,América Latina (promedio simple),Rural,0 a 5 años,2002,26,8620,,61.2
Ambos sexos,América Latina (promedio simple),Rural,10 a 12 años,2002,26,8620,,8.2
Hombres,América Latina (promedio simple),Rural,10 a 12 años,2002,26,8620,,8.7
Mujeres,América Latina (promedio simple),Rural,10 a 12 años,2002,26,8620,,7.8
Ambos sexos,América Latina (promedio simple),Rural,13 años y más,2002,26,8620,,3.7
Hombres,América Latina (promedio simple),Rural,13 años y más,2002,26,8620,,3.7
Mujeres,América Latina (promedio simple),Rural,13 años y más,2002,26,8620,,3.7
Ambos sexos,América Latina (promedio simple),Rural,6 a 9 años,2002,26,8620,,29.1
Hombres,América Latina (promedio simple),Rural,6 a 9 años,2002,26,8620,,30.9
Mujeres,América Latina (promedio simple),Rural,6 a 9 años,2002,26,8620,,27.3
Ambos sexos,América Latina (promedio simple),Urbana,0 a 5 años,2002,26,8620,,22.1
Hombres,América Latina (promedio simple),Urbana,0 a 5 años,2002,26,8620,,20
