País,Área geográfica,Escolaridad (EH),Años,id_fuente,ids_notas,iso3,valor
América Latina (promedio simple),Nacional,0 a 5 años,2001,26,8620,,70.2
América Latina (promedio simple),Nacional,10 a 12 años,2001,26,8620,,69.5
América Latina (promedio simple),Nacional,13 años y más,2001,26,8620,,60.1
América Latina (promedio simple),Nacional,6 a 9 años,2001,26,8620,,67
América Latina (promedio simple),Nacional,Total,2001,26,8620,,73.9
América Latina (promedio simple),Rural,0 a 5 años,2001,26,8620,,63.9
América Latina (promedio simple),Rural,10 a 12 años,2001,26,8620,,71.4
América Latina (promedio simple),Rural,13 años y más,2001,26,8620,,69.1
América Latina (promedio simple),Rural,6 a 9 años,2001,26,8620,,67.5
América Latina (promedio simple),Rural,Total,2001,26,8620,,74.2
América Latina (promedio simple),Urbana,0 a 5 años,2001,26,8620,,67.2
América Latina (promedio simple),Urbana,10 a 12 años,2001,26,8620,,68.9
América Latina (promedio simple),Urbana,13 años y más,2001,26,8620,,60.7
América Latina (promedio simple),Urbana,6 a 9 años,2001,26,8620,,65.3
América Latina (promedio simple),Urbana,Total,2001,26,8620,,69.1
América Latina (promedio simple),Nacional,0 a 5 años,2002,26,8620,,68
América Latina (promedio simple),Nacional,10 a 12 años,2002,26,8620,,69.4
América Latina (promedio simple),Nacional,13 años y más,2002,26,8620,,61
América Latina (promedio simple),Nacional,6 a 9 años,2002,26,8620,,66.6
América Latina (promedio simple),Nacional,Total,2002,26,8620,,73.7
América Latina (promedio simple),Rural,0 a 5 años,2002,26,8620,,60.5
América Latina (promedio simple),Rural,10 a 12 años,2002,26,8620,,71.2
América Latina (promedio simple),Rural,13 años y más,2002,26,8620,,71
América Latina (promedio simple),Rural,6 a 9 años,2002,26,8620,,65.2
América Latina (promedio simple),Rural,Total,2002,26,8620,,72.7
América Latina (promedio simple),Urbana,0 a 5 años,2002,26,8620,,67.1
América Latina (promedio simple),Urbana,10 a 12 años,2002,26,8620,,68.7
América Latina (promedio simple),Urbana,13 años y más,2002,26,8620,,61.7
América Latina (promedio simple),Urbana,6 a 9 años,2002,26,8620,,64.7
América Latina (promedio simple),Urbana,Total,2002,26,8620,,69.5
América Latina (promedio simple),Nacional,0 a 5 años,2003,26,8620,,67.4
América Latina (promedio simple),Nacional,10 a 12 años,2003,26,8620,,67.7
América Latina (promedio simple),Nacional,13 años y más,2003,26,8620,,63.4
América Latina (promedio simple),Nacional,6 a 9 años,2003,26,8620,,67.5
América Latina (promedio simple),Nacional,Total,2003,26,8620,,74.3
América Latina (promedio simple),Rural,0 a 5 años,2003,26,8620,,63.7
América Latina (promedio simple),Rural,10 a 12 años,2003,26,8620,,69.5
América Latina (promedio simple),Rural,13 años y más,2003,26,8620,,69.4
América Latina (promedio simple),Rural,6 a 9 años,2003,26,8620,,67.3
América Latina (promedio simple),Rural,Total,2003,26,8620,,73.4
América Latina (promedio simple),Urbana,0 a 5 años,2003,26,8620,,65.1
América Latina (promedio simple),Urbana,10 a 12 años,2003,26,8620,,67.2
América Latina (promedio simple),Urbana,13 años y más,2003,26,8620,,62.2
América Latina (promedio simple),Urbana,6 a 9 años,2003,26,8620,,65.2
América Latina (promedio simple),Urbana,Total,2003,26,8620,,69.5
América Latina (promedio simple),Nacional,0 a 5 años,2004,26,8620,,65.7
América Latina (promedio simple),Nacional,10 a 12 años,2004,26,8620,,67.9
América Latina (promedio simple),Nacional,13 años y más,2004,26,8620,,63.6
América Latina (promedio simple),Nacional,6 a 9 años,2004,26,8620,,66
América Latina (promedio simple),Nacional,Total,2004,26,8620,,73.7
América Latina (promedio simple),Rural,0 a 5 años,2004,26,8620,,61.9
América Latina (promedio simple),Rural,10 a 12 años,2004,26,8620,,69.9
América Latina (promedio simple),Rural,13 años y más,2004,26,8620,,68.2
América Latina (promedio simple),Rural,6 a 9 años,2004,26,8620,,65.6
América Latina (promedio simple),Rural,Total,2004,26,8620,,71.8
