País,Área geográfica,Años,id_fuente,ids_notas,iso3,valor
América Latina (promedio simple),Nacional,2001,26,8620,,21.3
América Latina (promedio simple),Rural,2001,26,8620,,18.7
América Latina (promedio simple),Urbana,2001,26,8620,,16.3
América Latina (promedio simple),Nacional,2002,26,8620,,21.2
América Latina (promedio simple),Rural,2002,26,8620,,19.1
América Latina (promedio simple),Urbana,2002,26,8620,,16.4
América Latina (promedio simple),Nacional,2003,26,8620,,20.4
América Latina (promedio simple),Rural,2003,26,8620,,17.9
América Latina (promedio simple),Urbana,2003,26,8620,,15.9
América Latina (promedio simple),Nacional,2004,26,8620,,18.8
América Latina (promedio simple),Rural,2004,26,8620,,15.8
América Latina (promedio simple),Urbana,2004,26,8620,,15.2
América Latina (promedio simple),Nacional,2005,26,8620,,21.3
América Latina (promedio simple),Rural,2005,26,8620,,18
América Latina (promedio simple),Urbana,2005,26,8620,,15.9
América Latina (promedio simple),Nacional,2006,26,8620,,18.7
América Latina (promedio simple),Rural,2006,26,8620,,16.7
América Latina (promedio simple),Urbana,2006,26,8620,,14.5
América Latina (promedio simple),Nacional,2007,26,8620,,17.4
América Latina (promedio simple),Rural,2007,26,8620,,15.5
América Latina (promedio simple),Urbana,2007,26,8620,,13.7
América Latina (promedio simple),Nacional,2008,26,8620,,16.2
América Latina (promedio simple),Rural,2008,26,8620,,14.3
América Latina (promedio simple),Urbana,2008,26,8620,,12.9
América Latina (promedio simple),Nacional,2009,26,8620,,15.2
América Latina (promedio simple),Rural,2009,26,8620,,13
América Latina (promedio simple),Urbana,2009,26,8620,,12.6
América Latina (promedio simple),Nacional,2010,26,8620,,14.9
América Latina (promedio simple),Rural,2010,26,8620,,13
América Latina (promedio simple),Urbana,2010,26,8620,,12.2
América Latina (promedio simple),Nacional,2011,26,8620,,14.6
América Latina (promedio simple),Rural,2011,26,8620,,13.1
América Latina (promedio simple),Urbana,2011,26,8620,,12.1
América Latina (promedio simple),Nacional,2012,26,8620,,14.2
América Latina (promedio simple),Rural,2012,26,8620,,12.9
América Latina (promedio simple),Urbana,2012,26,8620,,11.7
América Latina (promedio simple),Nacional,2013,26,8620,,14.1
América Latina (promedio simple),Rural,2013,26,8620,,12.1
América Latina (promedio simple),Urbana,2013,26,8620,,11.8
América Latina (promedio simple),Nacional,2014,26,8620,,13.4
América Latina (promedio simple),Rural,2014,26,8620,,11.8
América Latina (promedio simple),Urbana,2014,26,8620,,11.4
América Latina (promedio simple),Nacional,2015,26,8620,,12.9
América Latina (promedio simple),Rural,2015,26,8620,,11.4
América Latina (promedio simple),Urbana,2015,26,8620,,11.1
América Latina (promedio simple),Nacional,2016,26,8620,,13.1
América Latina (promedio simple),Rural,2016,26,8620,,11.8
América Latina (promedio simple),Urbana,2016,26,8620,,11.1
América Latina (promedio simple),Nacional,2017,26,8620,,12.9
América Latina (promedio simple),Rural,2017,26,8620,,11.5
América Latina (promedio simple),Urbana,2017,26,8620,,11.1
América Latina (promedio simple),Nacional,2018,26,8620,,12.7
América Latina (promedio simple),Rural,2018,26,8620,,11
América Latina (promedio simple),Urbana,2018,26,8620,,10.9
Argentina,Urbana,2000,26,923,ARG,18.3
Argentina,Urbana,2001,26,923,ARG,23.5
Argentina,Urbana,2002,26,923,ARG,23.7
Argentina,Urbana,2003,26,337,ARG,14.1
Argentina,Urbana,2004,26,337,ARG,11
Argentina,Urbana,2005,26,337,ARG,9.8
Argentina,Urbana,2006,26,337,ARG,10.4
Argentina,Urbana,2007,26,337,ARG,9.9
Argentina,Urbana,2008,26,337,ARG,8.8
Argentina,Urbana,2009,26,337,ARG,9.2
Argentina,Urbana,2010,26,337,ARG,8.9
Argentina,Urbana,2011,26,337,ARG,8.8
Argentina,Urbana,2012,26,337,ARG,7.9
Argentina,Urbana,2013,26,337,ARG,8.1
Argentina,Urbana,2014,26,337,ARG,8
Argentina,Urbana,2016,26,337,ARG,8
Argentina,Urbana,2017,26,337,ARG,7.9
Argentina,Urbana,2018,26,337,ARG,8.1
Bolivia (Estado Plurinacional de),Nacional,2000,26,,BOL,69
Bolivia (Estado Plurinacional de),Rural,2000,26,,BOL,70.3
Bolivia (Estado Plurinacional de),Urbana,2000,26,,BOL,21.1
Bolivia (Estado Plurinacional de),Nacional,2001,26,,BOL,42.8
Bolivia (Estado Plurinacional de),Rural,2001,26,,BOL,42.4
Bolivia (Estado Plurinacional de),Urbana,2001,26,,BOL,18.9
Bolivia (Estado Plurinacional de),Nacional,2002,26,,BOL,44
Bolivia (Estado Plurinacional de),Rural,2002,26,,BOL,47.7
Bolivia (Estado Plurinacional de),Urbana,2002,26,,BOL,19.2
Bolivia (Estado Plurinacional de),Nacional,2004,26,,BOL,21.7
Bolivia (Estado Plurinacional de),Rural,2004,26,,BOL,22
Bolivia (Estado Plurinacional de),Urbana,2004,26,,BOL,14
Bolivia (Estado Plurinacional de),Nacional,2005,26,,BOL,70
Bolivia (Estado Plurinacional de),Rural,2005,26,,BOL,52.1
Bolivia (Estado Plurinacional de),Urbana,2005,26,,BOL,38.4
Bolivia (Estado Plurinacional de),Nacional,2006,26,,BOL,51.8
Bolivia (Estado Plurinacional de),Rural,2006,26,,BOL,50.6
Bolivia (Estado Plurinacional de),Urbana,2006,26,,BOL,28.2
Bolivia (Estado Plurinacional de),Nacional,2007,26,,BOL,36.6
Bolivia (Estado Plurinacional de),Rural,2007,26,,BOL,43.2
Bolivia (Estado Plurinacional de),Urbana,2007,26,,BOL,20.3
Bolivia (Estado Plurinacional de),Nacional,2008,26,,BOL,19.5
Bolivia (Estado Plurinacional de),Rural,2008,26,,BOL,24
Bolivia (Estado Plurinacional de),Urbana,2008,26,,BOL,12.9
Bolivia (Estado Plurinacional de),Nacional,2009,26,,BOL,19.4
Bolivia (Estado Plurinacional de),Rural,2009,26,,BOL,26.8
Bolivia (Estado Plurinacional de),Urbana,2009,26,,BOL,12.2
Bolivia (Estado Plurinacional de),Nacional,2011,26,,BOL,15.4
Bolivia (Estado Plurinacional de),Rural,2011,26,,BOL,21.7
Bolivia (Estado Plurinacional de),Urbana,2011,26,,BOL,9.8
Bolivia (Estado Plurinacional de),Nacional,2012,26,,BOL,16.4
Bolivia (Estado Plurinacional de),Rural,2012,26,,BOL,25.7
Bolivia (Estado Plurinacional de),Urbana,2012,26,,BOL,10
Bolivia (Estado Plurinacional de),Nacional,2013,26,,BOL,16.3
Bolivia (Estado Plurinacional de),Rural,2013,26,,BOL,20.9
Bolivia (Estado Plurinacional de),Urbana,2013,26,,BOL,10
Bolivia (Estado Plurinacional de),Nacional,2014,26,,BOL,15.7
Bolivia (Estado Plurinacional de),Rural,2014,26,,BOL,19.9
Bolivia (Estado Plurinacional de),Urbana,2014,26,,BOL,9.9
Bolivia (Estado Plurinacional de),Nacional,2015,26,,BOL,13.7
Bolivia (Estado Plurinacional de),Rural,2015,26,,BOL,19
Bolivia (Estado Plurinacional de),Urbana,2015,26,,BOL,9.1
Bolivia (Estado Plurinacional de),Nacional,2016,26,,BOL,16
Bolivia (Estado Plurinacional de),Rural,2016,26,,BOL,24.4
Bolivia (Estado Plurinacional de),Urbana,2016,26,,BOL,10.1
Bolivia (Estado Plurinacional de),Nacional,2017,26,,BOL,15.3
Bolivia (Estado Plurinacional de),Rural,2017,26,,BOL,21.2
Bolivia (Estado Plurinacional de),Urbana,2017,26,,BOL,9.4
Bolivia (Estado Plurinacional de),Nacional,2018,26,,BOL,12.9
Bolivia (Estado Plurinacional de),Rural,2018,26,,BOL,15.8
Bolivia (Estado Plurinacional de),Urbana,2018,26,,BOL,8.1
Brasil,Nacional,2001,26,8608,BRA,22.2
Brasil,Rural,2001,26,8608,BRA,13.3
Brasil,Urbana,2001,26,8608,BRA,20.9
Brasil,Nacional,2002,26,8608,BRA,20.7
Brasil,Rural,2002,26,8608,BRA,11.9
Brasil,Urbana,2002,26,8608,BRA,19.6
Brasil,Nacional,2003,26,8608,BRA,20.2
Brasil,Rural,2003,26,8608,BRA,13.3
Brasil,Urbana,2003,26,8608,BRA,19.2
Brasil,Nacional,2004,26,8608,BRA,18.9
Brasil,Rural,2004,26,8608,BRA,12.6
Brasil,Urbana,2004,26,8608,BRA,17.8
Brasil,Nacional,2005,26,8608,BRA,18.6
Brasil,Rural,2005,26,8608,BRA,12
Brasil,Urbana,2005,26,8608,BRA,17.4
Brasil,Nacional,2006,26,8608,BRA,18.1
Brasil,Rural,2006,26,8608,BRA,12.8
Brasil,Urbana,2006,26,8608,BRA,16.9
Brasil,Nacional,2007,26,8608,BRA,18.4
Brasil,Rural,2007,26,8608,BRA,13.2
Brasil,Urbana,2007,26,8608,BRA,17.1
Brasil,Nacional,2008,26,8608,BRA,17.6
