Sexo,País,Área geográfica,Grupo edad para participación en la PEA,Años,id_fuente,ids_notas,iso3,valor
Ambos sexos,Argentina,Urbana,Total (15 años y más),2000,26,923,ARG,57.63
Ambos sexos,Argentina,Urbana,15 a 24 años,2000,26,923,ARG,43.19
Ambos sexos,Argentina,Urbana,25 a 34 años,2000,26,923,ARG,76.78
Ambos sexos,Argentina,Urbana,35 a 44 años,2000,26,923,ARG,78.3
Ambos sexos,Argentina,Urbana,45 a 59 años,2000,26,923,ARG,71.35
Ambos sexos,Argentina,Urbana,60 años y más,2000,26,923,ARG,22.42
Hombres,Argentina,Urbana,Total (15 años y más),2000,26,923,ARG,73.05
Hombres,Argentina,Urbana,15 a 24 años,2000,26,923,ARG,51.3
Hombres,Argentina,Urbana,25 a 34 años,2000,26,923,ARG,93.14
Hombres,Argentina,Urbana,35 a 44 años,2000,26,923,ARG,96.27
Hombres,Argentina,Urbana,45 a 59 años,2000,26,923,ARG,90.2
Hombres,Argentina,Urbana,60 años y más,2000,26,923,ARG,36.68
Mujeres,Argentina,Urbana,Total (15 años y más),2000,26,923,ARG,44.19
Mujeres,Argentina,Urbana,15 a 24 años,2000,26,923,ARG,35.38
Mujeres,Argentina,Urbana,25 a 34 años,2000,26,923,ARG,61.68
Mujeres,Argentina,Urbana,35 a 44 años,2000,26,923,ARG,61.8
Mujeres,Argentina,Urbana,45 a 59 años,2000,26,923,ARG,55.17
Mujeres,Argentina,Urbana,60 años y más,2000,26,923,ARG,12.6
Ambos sexos,Argentina,Urbana,Total (15 años y más),2001,26,923,ARG,56.5
Ambos sexos,Argentina,Urbana,15 a 24 años,2001,26,923,ARG,41.33
Ambos sexos,Argentina,Urbana,25 a 34 años,2001,26,923,ARG,76.18
Ambos sexos,Argentina,Urbana,35 a 44 años,2001,26,923,ARG,78.01
Ambos sexos,Argentina,Urbana,45 a 59 años,2001,26,923,ARG,71.71
Ambos sexos,Argentina,Urbana,60 años y más,2001,26,923,ARG,21.05
Hombres,Argentina,Urbana,Total (15 años y más),2001,26,923,ARG,72.03
Hombres,Argentina,Urbana,15 a 24 años,2001,26,923,ARG,49.31
