País,Sexo,Años,id_fuente,ids_notas,iso3,valor
Argentina,Ambos sexos,1996,480,,ARG,28
Bolivia (Estado Plurinacional de),Ambos sexos,1996,480,,BOL,29
Brasil,Ambos sexos,1996,480,,BRA,37
Chile,Ambos sexos,1996,480,,CHL,36
Colombia,Ambos sexos,1996,480,,COL,38
Costa Rica,Ambos sexos,1996,480,,CRI,33
Ecuador,Ambos sexos,1996,480,,ECU,36
El Salvador,Ambos sexos,1996,480,,SLV,56
Guatemala,Ambos sexos,1996,480,,GTM,63
Honduras,Ambos sexos,1996,480,,HND,29
México,Ambos sexos,1996,480,,MEX,48
Nicaragua,Ambos sexos,1996,480,,NIC,34
Panamá,Ambos sexos,1996,480,,PAN,21
Paraguay,Ambos sexos,1996,480,,PRY,33
Perú,Ambos sexos,1996,480,,PER,38
Uruguay,Ambos sexos,1996,480,,URY,19
Venezuela (República Bolivariana de),Ambos sexos,1996,480,,VEN,43
Argentina,Hombres,1996,480,,ARG,24
Bolivia (Estado Plurinacional de),Hombres,1996,480,,BOL,27
Brasil,Hombres,1996,480,,BRA,38
Chile,Hombres,1996,480,,CHL,36
Colombia,Hombres,1996,480,,COL,39
Costa Rica,Hombres,1996,480,,CRI,32
Ecuador,Hombres,1996,480,,ECU,35
El Salvador,Hombres,1996,480,,SLV,57
Guatemala,Hombres,1996,480,,GTM,66
Honduras,Hombres,1996,480,,HND,28
México,Hombres,1996,480,,MEX,49
Nicaragua,Hombres,1996,480,,NIC,34
Panamá,Hombres,1996,480,,PAN,21
Paraguay,Hombres,1996,480,,PRY,32
Perú,Hombres,1996,480,,PER,38
Uruguay,Hombres,1996,480,,URY,16
Venezuela (República Bolivariana de),Hombres,1996,480,,VEN,43
Argentina,Mujeres,1996,480,,ARG,31
Bolivia (Estado Plurinacional de),Mujeres,1996,480,,BOL,30
Brasil,Mujeres,1996,480,,BRA,37
Chile,Mujeres,1996,480,,CHL,37
Colombia,Mujeres,1996,480,,COL,37
Costa Rica,Mujeres,1996,480,,CRI,33
Ecuador,Mujeres,1996,480,,ECU,37
El Salvador,Mujeres,1996,480,,SLV,55
